title,author,info_type,post_agency,nation,article_date,link_url,domain,subject,text
"
                    European countries agree to strengthen position in semiconductor industry",,T0,荷兰经济事务和气候政策部,荷兰,2025-03-12,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2025/03/12/european-countries-agree-to-strengthen-position-in-semiconductor-industry,F0,AG0,"At the initiative of minister Beljaarts of Economic Affairs of The Netherlands, 9 countries have established the Semicon ..."
"
                    Take stock and take action on better digital regulation for SMEs in the EU",,T0,荷兰经济事务和气候政策部,荷兰,2024-12-06,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2024/12/06/take-stock-and-take-action-on-better-digital-regulation-for-smes-in-the-eu,F0,AG0,The new EU digital rulebook touches all dimensions of the digital economy. It aims to significantly improve competition and ...
"
                    EU Member States propose approach to eliminate territorial supply constraints",,T0,荷兰经济事务和气候政策部,荷兰,2024-05-23,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2024/05/23/eu-member-states-propose-approach-to-eliminate-territorial-supply-constraints,F0,AG0,"At the initiative of Minister Micky Adriaansens (Economic Affairs and Climate), the Netherlands and seven other EU Member States ..."
"
                    Charting the Course: 2nd High-Level Roundtable of the International Hydrogen Trade Forum and the Hydrogen  Council hosted by Minister Jetten in The Netherlands",,T0,荷兰经济事务和气候政策部,荷兰,2024-05-13,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2024/05/13/charting-the-course-2nd-high-level-roundtable-of-the-international-hydrogen-trade-forum-and-the-hydrogen-council-hosted-by-minister-jetten-in-the-netherlands,F0,AG0,"Today, in Rotterdam, The Netherlands, the second Ministerial-Executive Roundtable was hosted by the International Hydrogen Trade ..."
"
                    The Netherlands, France, the Czech Republic and Ireland call for a European policy package on sustainable carbon in the chemical industry",,T0,荷兰经济事务和气候政策部,荷兰,2024-04-16,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2024/04/16/the-netherlands-france-the-czech-republic-and-ireland-call-for-a-european-policy-package-on-sustainable-carbon-in-the-chemical-industry,F0,AG0,"In order to make the transition from fossil to sustainable raw materials in the chemical industry, policy is needed at EU-level. ..."
"
                    Five northern European countries conclude international arrangements on transport and storage of carbon across borders",,T0,荷兰经济事务和气候政策部,荷兰,2024-04-15,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2024/04/15/five-northern-european-countries-conclude-international-arrange-ments-on-transport-and-storage-of-carbon-across-borders,F0,AG0,"A European infrastructure for carbon capture and storage is underway. Today, arrangements between Denmark, Norway, Belgium, the ..."
"
                    The Netherlands to invest €2.5 billion to strengthen business climate for chip industry in Brainport Eindhoven",,T0,荷兰经济事务和气候政策部,荷兰,2024-03-28,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2024/03/28/the-netherlands-to-invest-%E2%82%AC2.5-billion-to-strengthen-business-climate-for-chip-industry-in-brainport-eindhoven,F0,AG0,"Found in objects from telephones to solar panels and medical equipment, microchips play a crucial role in everyday life. Dutch ..."
"
                    Offshore wind: The Netherlands well on schedule, tender round to double capacity will start early 2024",,T0,荷兰经济事务和气候政策部,荷兰,2023-12-20,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2023/12/19/offshore-wind-the-netherlands-well-on-schedule-tender-round-to-double-capacity-will-start-early-2024,F0,AG0,"Today, the CrossWind consortium completed construction of the Hollandse Kust (noord) wind farm. The Netherlands has now reached a ..."
"
                    Group of European countries aim to decarbonize their electricity system by 2035",,T0,荷兰经济事务和气候政策部,荷兰,2023-12-18,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2023/12/18/group-of-european-countries-aim-to-decarbonize-their-electricity-system-by-2035,F0,AG0,"Today, Austria, Belgium, France, Germany, Luxemburg, The Netherlands and Switzerland announce a joint ambition to decarbonize ..."
"
                    COP28: Netherlands, Germany, France, Spain, Finland, the federal government of Belgium and Austria propose framework to prevent greenwashing and restore integrity in voluntary carbon markets",,T0,荷兰经济事务和气候政策部,荷兰,2023-12-10,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2023/12/10/cop28-netherlands-germany-france-spain-finland-belgium-and-austria-propose-framework-to-prevent-greenwashing-and-restore-integrity-in-voluntary-carbon-markets,F0,AG0,Effective and trustworthy voluntary carbon markets can play a role in supporting faster and more ambitious climate action. They ...
